2023-05-10 07:09:06,934 INFO    MainThread:27440 [wandb_setup.py:_flush():76] Current SDK version is 0.15.2
2023-05-10 07:09:06,935 INFO    MainThread:27440 [wandb_setup.py:_flush():76] Configure stats pid to 27440
2023-05-10 07:09:06,935 INFO    MainThread:27440 [wandb_setup.py:_flush():76] Loading settings from C:\Users\ishaa\.config\wandb\settings
2023-05-10 07:09:06,935 INFO    MainThread:27440 [wandb_setup.py:_flush():76] Loading settings from C:\ai_sem_7\Courses\Deep Learning\deep-learning\project\sparsernn\wandb\settings
2023-05-10 07:09:06,935 INFO    MainThread:27440 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-10 07:09:06,935 INFO    MainThread:27440 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-10 07:09:06,938 INFO    MainThread:27440 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'c:\\ai_sem_7\\Courses\\Deep Learning\\deep-learning\\project\\sparsernn\\main.py'}
2023-05-10 07:09:06,939 INFO    MainThread:27440 [wandb_init.py:_log_setup():507] Logging user logs to C:\ai_sem_7\Courses\Deep Learning\deep-learning\project\sparsernn\wandb\run-20230510_070906-qbiqcyrx\logs\debug.log
2023-05-10 07:09:06,939 INFO    MainThread:27440 [wandb_init.py:_log_setup():508] Logging internal logs to C:\ai_sem_7\Courses\Deep Learning\deep-learning\project\sparsernn\wandb\run-20230510_070906-qbiqcyrx\logs\debug-internal.log
2023-05-10 07:09:06,939 INFO    MainThread:27440 [wandb_init.py:init():547] calling init triggers
2023-05-10 07:09:06,939 INFO    MainThread:27440 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'epochs': 20, 'batch_size': 32, 'embedding_dims': 64, 'hidden_state_sizes': [512, 128], 'depth': 2}
2023-05-10 07:09:06,939 INFO    MainThread:27440 [wandb_init.py:init():596] starting backend
2023-05-10 07:09:06,939 INFO    MainThread:27440 [wandb_init.py:init():600] setting up manager
2023-05-10 07:09:06,944 INFO    MainThread:27440 [wandb_init.py:init():606] backend started and connected
2023-05-10 07:09:06,946 INFO    MainThread:27440 [wandb_init.py:init():700] updated telemetry
2023-05-10 07:09:06,989 INFO    MainThread:27440 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-05-10 07:09:07,749 INFO    MainThread:27440 [wandb_run.py:_on_init():2177] communicating current version
2023-05-10 07:09:08,015 INFO    MainThread:27440 [wandb_run.py:_on_init():2186] got version response 
2023-05-10 07:09:08,015 INFO    MainThread:27440 [wandb_init.py:init():787] starting run threads in backend
2023-05-10 07:09:08,179 INFO    MainThread:27440 [wandb_run.py:_console_start():2158] atexit reg
2023-05-10 07:09:08,179 INFO    MainThread:27440 [wandb_run.py:_redirect():2013] redirect: 3
2023-05-10 07:09:08,179 INFO    MainThread:27440 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-05-10 07:09:08,179 INFO    MainThread:27440 [wandb_run.py:_redirect():2103] Redirects installed.
2023-05-10 07:09:08,180 INFO    MainThread:27440 [wandb_init.py:init():829] run started, returning control to user process
2023-05-10 07:09:19,057 WARNING MsgRouterThr:27440 [router.py:message_loop():77] message_loop has been closed
